PMID	year	count
23453885	1999	1
29844566	1999	1
25673412	1999	1
26833246	1999	1
23453885	2003	1
19567438	2003	1
19648918	2004	1
20101243	2004	1
16252231	2004	1
15761122	2005	53
15761122	2006	214
16252231	2005	1
16252231	2006	36
23453885	1997	1
15761122	2007	278
16614226	2006	20
16648850	2006	4
16614226	2007	92
17052657	2006	2
17053108	2006	2
16252231	2007	52
17052657	2007	27
17158188	2007	12
17053149	2006	1
17068223	2006	1
16648850	2007	35
17053108	2007	60
17068223	2007	172
18519826	2007	1
28166215	2006	1
17474819	2007	11
17053149	2007	17
17293876	2007	134
17053149	2008	34
17362836	2007	12
17099884	2007	6
17434096	2007	1
16648850	2008	46
17401363	2007	40
17401366	2007	39
17463249	2007	79
17463248	2007	87
17434869	2007	67
17463246	2007	88
15761122	2008	245
17435756	2007	55
17478679	2007	42
17478681	2007	40
17529967	2007	49
17447842	2007	30
17052657	2008	36
17554300	2007	130
17554260	2007	26
17460697	2007	42
17554261	2007	27
17529974	2007	16
17529973	2007	23
16614226	2008	97
17158188	2008	54
17068223	2008	255
17522711	2007	5
17486107	2007	5
17357082	2007	3
17632509	2007	2
17634449	2007	8
17634447	2007	8
17558408	2007	7
17522711	2008	31
17223258	2007	1
17293876	2008	305
17660530	2007	18
17637780	2007	7
17553421	2007	4
17671248	2007	3
17053108	2008	70
17470457	2007	2
17447842	2008	76
17554261	2008	100
17435756	2008	145
17554300	2008	730
17603485	2007	6
16252231	2008	39
17053149	2009	28
17618284	2008	83
17401366	2008	110
17401363	2008	120
18677311	2010	101
19571809	2010	101
18711365	2010	93
18372903	2010	212
19571811	2010	186
17558408	2008	64
17407593	2008	17
17099884	2008	14
17804836	2007	3
17478679	2008	143
17478681	2008	160
17529973	2008	141
17529974	2008	64
17618283	2008	79
17529967	2008	217
17846126	2007	4
17848626	2007	4
17846125	2007	4
17846124	2007	4
17903298	2007	3
17611496	2007	9
17395743	2007	3
17641165	2008	65
17827064	2007	1
17658951	2007	6
17690259	2007	5
17641165	2007	8
17618283	2007	7
17618284	2007	5
17463249	2008	286
17463248	2008	304
17463246	2008	329
17486107	2008	49
17634449	2008	167
17407593	2007	3
17903307	2007	1
17903305	2007	1
17903293	2007	2
17903303	2007	2
17903300	2007	2
17903306	2007	1
17903294	2007	1
17903297	2007	1
17903292	2007	1
17903301	2007	1
17903304	2007	2
17903308	2007	1
17903295	2007	1
17903296	2007	1
17903302	2007	2
17903299	2007	2
16252231	2009	43
17052657	2009	39
17395743	2008	7
17634447	2008	47
17637780	2008	51
17460697	2008	128
17554260	2008	135
17632545	2007	4
17660530	2008	119
17474819	2008	30
17434869	2008	239
17658951	2008	99
17632545	2008	53
17603485	2008	70
17603472	2007	1
17684544	2008	16
17804789	2008	32
17505501	2007	1
17684544	2007	1
17804789	2007	1
17668382	2007	3
17611496	2008	73
17553421	2008	30
17903292	2008	5
17690259	2008	59
17668382	2008	28
18084291	2008	24
17827064	2008	27
17362836	2008	34
17671248	2008	41
17603472	2008	48
17474819	2009	40
17804836	2008	67
18073375	2007	1
17667963	2008	11
17975299	2008	7
17903297	2008	13
17767157	2007	1
17999355	2008	12
17486107	2009	74
17554300	2009	938
17767157	2008	39
17632509	2008	23
17903303	2008	10
17903304	2008	23
17434096	2008	18
17223258	2008	9
18193044	2008	68
18193043	2008	72
17357082	2008	6
16614226	2009	70
18204098	2008	35
17846124	2008	12
17846126	2008	16
17846125	2008	13
17848626	2008	14
18193046	2008	25
18204447	2008	23
18204446	2008	45
17934461	2008	38
17767159	2008	16
17952075	2008	34
18159244	2008	23
18262040	2008	26
17982456	2008	33
17641165	2009	108
17903296	2008	15
17903299	2008	8
17053108	2009	56
15761122	2009	199
17529974	2009	68
17401366	2009	101
17401363	2009	119
17529973	2009	153
17529967	2009	220
18332876	2008	7
18193045	2008	28
17903301	2008	3
17903305	2008	9
18057069	2008	11
17099884	2009	13
17903300	2008	10
17997608	2008	19
18179892	2008	27
17998437	2008	15
18195134	2008	10
18347602	2008	9
17357082	2009	9
17667963	2009	22
17999355	2009	12
17903308	2008	11
18264098	2008	29
18264096	2008	50
17553421	2009	43
17903302	2008	12
18067574	2008	5
18391952	2008	27
17903293	2008	5
17804836	2009	157
18227835	2008	28
18385738	2008	52
18385676	2008	48
18385739	2008	53
17903307	2008	4
17903306	2008	4
17903294	2008	2
17903298	2008	3
17903295	2008	5
18391950	2008	28
18264097	2008	39
18372903	2008	75
17505501	2008	7
18403759	2008	10
18327257	2008	22
17671248	2009	37
17362836	2009	30
17827064	2009	29
17158188	2009	53
17470457	2008	2
17975299	2010	9
17474819	2010	50
18439552	2008	8
17982456	2009	97
16648850	2010	52
17634449	2010	158
17486107	2010	57
17603472	2010	47
18327256	2008	19
18311140	2008	23
18439548	2008	8
17911428	2008	3
18252221	2008	10
18391951	2008	20
17554260	2009	172
18445777	2008	9
18282107	2008	11
18239089	2008	5
18455228	2008	13
17634449	2009	166
17478679	2009	128
17478681	2009	154
18463370	2008	5
18198356	2008	7
17068223	2009	267
19122664	2009	29
17505501	2009	24
18488028	2008	6
18073375	2008	11
18245381	2008	14
18317468	2008	12
17903306	2009	12
17903305	2009	5
16648850	2009	48
17903308	2009	9
22021425	2008	1
18369459	2009	54
17660530	2009	161
18326623	2008	9
18372905	2008	20
17522711	2009	43
17434869	2009	245
18488026	2008	6
18451265	2008	7
18519826	2008	7
18454148	2008	23
17463249	2009	255
17293876	2009	233
17463248	2009	274
17463246	2009	306
18514160	2008	3
18326623	2009	32
18325910	2008	9
17658951	2009	104
18372901	2008	18
17554261	2009	118
17435756	2009	166
17903297	2009	17
18576341	2008	1
18650507	2008	12
18587394	2008	27
18369459	2008	10
18488028	2009	29
18483556	2009	26
17952075	2009	53
17293876	2010	205
18372905	2009	45
18372901	2009	46
17618284	2009	76
17603485	2009	101
17618283	2009	72
18179892	2009	39
18471798	2008	2
18385676	2009	106
18385738	2009	115
18385739	2009	119
18991354	2008	1
17632545	2009	68
18193044	2009	108
18193043	2009	148
18454146	2008	9
17903293	2009	6
17611496	2009	109
18455228	2009	63
18403759	2009	40
17447842	2009	84
18204447	2009	50
18204098	2009	81
18204446	2009	100
17637780	2009	47
17634447	2009	39
18521185	2008	7
18535201	2008	4
18759275	2008	2
18587394	2009	209
17903296	2009	16
17690259	2009	47
17934461	2009	43
18264098	2009	43
17407593	2009	18
18519826	2009	25
17767157	2009	50
17558408	2009	74
18159244	2009	46
18758464	2008	1
18364390	2009	15
17553421	2010	56
17053149	2010	30
18794853	2008	3
18521090	2009	7
18521091	2009	8
18311140	2009	77
18483556	2008	5
18677311	2009	78
18940312	2008	2
18521091	2008	2
18980221	2008	4
18316681	2008	5
17684544	2009	20
18677311	2008	5
18264097	2009	87
18264096	2009	99
17804789	2009	32
18615156	2008	1
18372903	2009	216
18834626	2008	1
17846126	2009	19
17460697	2009	102
18454148	2009	127
17632509	2009	22
18198356	2009	14
18711365	2009	57
17903297	2010	17
19305408	2008	1
18711365	2008	4
18711366	2008	4
18711367	2008	6
18439552	2009	20
18439548	2009	34
18464913	2008	4
17998437	2009	51
18252221	2009	16
18347602	2009	43
17903299	2009	31
17603472	2009	45
17846124	2009	12
17903298	2009	10
17903295	2009	11
18821565	2008	2
18937294	2008	2
18391951	2009	61
18391950	2009	82
18391952	2009	111
18193045	2009	59
18262040	2009	42
18535201	2009	32
18445777	2009	43
17903303	2009	9
18821564	2008	1
18780872	2008	2
18245381	2010	32
18317468	2010	79
18391950	2010	66
17997608	2010	26
17667963	2010	19
18193045	2010	38
18347602	2010	51
17767157	2010	39
17658951	2010	105
18193043	2010	131
17434869	2010	253
17068223	2010	212
17554300	2010	840
18849994	2008	1
18849991	2008	2
18451265	2009	33
19197348	2009	6
18594024	2008	3
20031538	2008	3
18514160	2009	7
18239089	2009	11
18650507	2009	101
18521185	2009	24
18987618	2009	6
18057069	2009	33
18084291	2009	39
18193046	2009	36
18615156	2009	22
18794853	2009	60
18794855	2008	1
17668382	2009	21
18317468	2009	67
18776929	2008	1
18204098	2010	81
18204446	2010	97
18227835	2009	41
18535201	2010	40
18711366	2009	42
18711367	2009	56
18327257	2009	41
18780872	2009	12
17903294	2009	7
18660810	2008	2
19011631	2009	27
19165918	2009	55
18067574	2009	16
17846125	2009	9
18316681	2009	14
18464913	2009	19
18195134	2009	20
18282107	2009	34
18758461	2008	1
17767159	2009	25
18245381	2009	26
18849994	2009	10
18332876	2009	23
19060906	2009	72
19802338	2009	9
18604267	2009	9
18940312	2009	20
17434096	2009	17
18325910	2009	26
20031538	2009	7
19060911	2009	48
18454146	2009	41
18073375	2009	22
18471798	2009	10
19043545	2008	1
18449908	2009	2
19060907	2009	56
19060910	2009	40
18776929	2009	5
18762592	2009	13
18978792	2008	1
17848626	2009	12
17975299	2009	13
19079261	2009	96
19079260	2009	70
18991354	2009	12
19081515	2009	10
18836448	2009	49
18758464	2009	22
17903302	2009	20
18794855	2009	35
17522711	2010	34
18282107	2010	42
18262040	2010	34
17641165	2010	96
17997608	2009	19
18327256	2009	25
18978792	2009	39
19060909	2009	36
19488044	2009	4
17223258	2009	6
18463370	2009	11
18488026	2009	30
18776911	2009	7
18846228	2009	17
17903301	2009	9
17653210	2008	1
17998437	2010	57
17660530	2010	148
17903304	2009	15
19074352	2009	7
18849993	2009	4
18591461	2009	9
18980221	2009	13
18668548	2009	14
18849991	2009	8
18758461	2009	29
18835860	2009	7
19165924	2009	7
18834626	2009	23
19165918	2008	1
19151714	2009	32
17903292	2009	7
18762592	2008	1
19065144	2009	14
19079262	2009	16
19169254	2009	39
17529967	2010	214
18997785	2009	23
18802019	2009	8
19198612	2009	21
