ISSN (Online)	ISSN (Print)	JournalTitle	JrId	MedAbbr	NlmId
	 0160-6999	 AADE editors' journal	 1	 AADE Ed J	 7708172
 2162-5239	 0094-6354	 AANA journal	 2	 AANA J	 0431420
	 0001-0197	 AARN news letter	 3	 AARN News Lett	 1251052
	 0289-0909	 [Nihon shika hyoron] The Nippon dental review	 4	 Nihon Shika Hyoron	 19130390R
	 0001-3854	 Academia Peruana de Cirugia	 5	 Acad Peru Cir	 14490460R
	 0008-0810	 Academy review of the California Academy of Periodontology, United States Section, ARPA Internationale	 6	 Acad Rev Calif Acad Periodontol	 7503275
	 0044-586X	 Acarologia	 7	 Acarologia	 14510400R
	 0075-4463	 Acquisitions medicales recentes	 9	 Acquis Med Recent	 0373054
	 0001-7604	 Activitas nervosa superior	 11	 Act Nerv Super (Praha)	 0400662
	 0001-5148	 Acta allergologica	 12	 Acta Allergol	 0370567
	 0001-5156	 Acta anaesthesiologica	 13	 Acta Anaesthesiol	 0340732
 2736-5239	 0001-5164	 Acta anaesthesiologica Belgica	 14	 Acta Anaesthesiol Belg	 0421022
 1399-6576	 0001-5172	 Acta anaesthesiologica Scandinavica	 15	 Acta Anaesthesiol Scand	 0370270
	 0515-2720	 Acta anaesthesiologica Scandinavica. Supplementum	 16	 Acta Anaesthesiol Scand Suppl	 0370271
	 0001-5180	 Acta anatomica	 17	 Acta Anat (Basel)	 0370272
	 0022-7722	 Kaibogaku zasshi. Journal of anatomy	 18	 Kaibogaku Zasshi	 0413526
		 Acta biochimica et biophysica; Academiae Scientiarum Hungaricae	 19	 Acta Biochim Biophys Acad Sci Hung	 0067725
 1734-154X	 0001-527X	 Acta biochimica Polonica	 20	 Acta Biochim Pol	 14520300R
	 0147-1554	 Across the board	 21	 Across Board (NY)	 9877747
	 0001-5288	 Acta biologica Academiae Scientiarum Hungaricae	 22	 Acta Biol Acad Sci Hung	 0370274
 1930-3807	 0363-7425	 Academy of management review. Academy of Management	 23	 Acad Manage Rev	 9877758
	 0237-6261	 Acta biochimica et biophysica Hungarica	 24	 Acta Biochim Biophys Hung	 8701158
	 0365-0820	 Acta biologiae experimentalis	 25	 Acta Biol Exp (Warsz)	 1246764
 1948-0989	 0001-4273	 Academy of Management journal. Academy of Management	 27	 Acad Manage J	 7703609
	 0771-5684	 Acta Belgica. Medica physica : organe officiel de la Societe royale belge de medecine physique et de rehabilitation	 28	 Acta Belg Med Phys	 8307581
	 0001-5334	 Shi yan sheng wu xue bao	 29	 Shi Yan Sheng Wu Xue Bao	 0413570
	 0236-5383	 Acta biologica Hungarica	 30	 Acta Biol Hung	 8404358
	 0065-1087	 Acta biologica et medica	 31	 Acta Biol Med (Gdansk)	 0370275
	 0001-5318	 Acta biologica et medica Germanica	 32	 Acta Biol Med Ger	 0370276
		 Acta bio-medica de L'Ateneo parmense : organo della Societa di medicina e scienze naturali di Parma	 33	 Acta Biomed Ateneo Parmense	 8106323
 1572-8358	 0001-5342	 Acta biotheoretica	 34	 Acta Biotheor	 0421520
 1810-8296	 1013-5545	 Acta cancerologica	 35	 Acta Cancerol (Lima)	 0370300
 1784-973X	 0001-5385	 Acta cardiologica	 36	 Acta Cardiol	 0370570
	 0302-4377	 Acta chemica Scandinavica. Series A: Physical and inorganic chemistry	 38	 Acta Chem Scand A	 0421761
	 0302-4369	 Acta chemica Scandinavica. Series B: Organic chemistry and biochemistry	 39	 Acta Chem Scand B	 0421265
	 0001-5431	 Acta chirurgica Academiae Scientiarum Hungaricae	 40	 Acta Chir Acad Sci Hung	 2984283R
	 0231-4614	 Acta chirurgica Hungarica	 41	 Acta Chir Hung	 8309977
	 0373-7934	 Acta cardiologica. Supplementum	 42	 Acta Cardiol Suppl	 0376316
	 0001-5458	 Acta chirurgica Belgica	 43	 Acta Chir Belg	 0370571
	 0001-5466	 Acta chirurgica Italica	 44	 Acta Chir Ital	 0370303
	 0354-950X	 Acta chirurgica Iugoslavica	 45	 Acta Chir Iugosl	 0372631
	 0001-5415	 Acta chirurgiae orthopaedicae et traumatologiae Cechoslovaca	 46	 Acta Chir Orthop Traumatol Cech	 0407123
 1805-4404	 0001-5423	 Acta chirurgiae plasticae	 47	 Acta Chir Plast	 0370301
	 0001-5482	 Acta chirurgica Scandinavica	 48	 Acta Chir Scand	 7906530
	 0301-1860	 Acta chirurgica Scandinavica. Supplementum	 49	 Acta Chir Scand Suppl	 0370305
	 0001-5504	 Acta cientifica venezolana	 50	 Acta Cient Venez	 0070154
 2295-3337	 1784-3286	 Acta clinica Belgica	 51	 Acta Clin Belg	 0370306
	 0567-7386	 Acta clinica Belgica. Supplementum	 52	 Acta Clin Belg Suppl	 0043523
	 0120-9906	 Acta clinica odontologica : organo de difusion academica de Sociedad Antioquena de Endodoncistas ... [et al.]	 53	 Acta Clin Odontol	 8503035
	 0365-110X	 Acta crystallographica	 54	 Acta Crystallogr	 0211526
	 0567-7394	 Acta crystallographica. Section A, Crystal physics, diffraction, theoretical and general crystallography	 55	 Acta Crystallogr A Cryst Phys Diffr Theor Gen Crystallogr	 0211627
 1938-2650	 0001-5547	 Acta cytologica	 57	 Acta Cytol	 0370307
	 0391-9706	" Acta embryologiae et morphologiae experimentalis (""Halocynthia"" Association"")"	 58	 Acta Embryol Morphol Exp (Halocynthia Assoc)	 8108943
	 0376-0189	 Acta dermatologica-Kyoto. English edition	 59	 Acta Dermatol Kyoto Engl Ed	 0266344
 1651-2057	 0001-5555	 Acta dermato-venereologica	 60	 Acta Derm Venereol	 0370310
	 0365-8341	 Acta dermato-venereologica. Supplementum	 61	 Acta Derm Venereol Suppl (Stockh)	 0370311
	 0065-1176	 Hifuka kiyo. Acta dermatologica	 62	 Hifuka Kiyo	 1305010
	 0001-5563	 Acta diabetologica latina	 63	 Acta Diabetol Lat	 0123567
	 0065-1184	 Acta embryologiae experimentalis	 64	 Acta Embryol Exp (Palermo)	 0236000
	 0567-7416	 Acta embryologiae et morphologiae experimentalis	 65	 Acta Embryol Morphol Exp	 0235532
	 0001-5598	 Acta endocrinologica	 66	 Acta Endocrinol (Copenh)	 0370312
	 0300-9750	 Acta endocrinologica. Supplementum	 67	 Acta Endocrinol Suppl (Copenh)	 0370313
	 0587-2421	 Acta Europaea fertilitatis	 68	 Acta Eur Fertil	 1300660
	 1784-3227	 Acta gastro-enterologica Belgica	 69	 Acta Gastroenterol Belg	 0414075
