PMID	doi	year	first_author	title	journal	PubMed_url	doi_url
20009918	10.1097/QAD.0b013e3283353c9e	2010	Shrestha S	A genome-wide association study of carotid atherosclerosis in HIV-infected men.	AIDS	https://pubmed.ncbi.nlm.nih.gov/20009918	https://doi.org/10.1097/QAD.0b013e3283353c9e
21160409	10.1097/QAD.0b013e328343817b	2010	Petrovski S	Common human genetic variants and HIV-1 susceptibility: a genome-wide survey in a homogeneous African population.	AIDS	https://pubmed.ncbi.nlm.nih.gov/21160409	https://doi.org/10.1097/QAD.0b013e328343817b
33095540	10.1097/QAD.0000000000002738	2020	Sherman BT	Genome-wide association study of high-sensitivity C-reactive protein, D-dimer, and interleukin-6 levels in multiethnic HIV+ cohorts.	AIDS	https://pubmed.ncbi.nlm.nih.gov/33095540	https://doi.org/10.1097/QAD.0000000000002738
25950743	10.1089/AID.2014.0266	2015	Uttayamakul S	Genome-Wide Association Study of HIV-Related Lipoatrophy in Thai Patients: Association of a DLGAP1 Polymorphism with Fat Loss.	AIDS Res Hum Retroviruses	https://pubmed.ncbi.nlm.nih.gov/25950743	https://doi.org/10.1089/AID.2014.0266
28132517	10.1089/AID.2016.0017	2017	Xie W	Genome-Wide Analyses Reveal Gene Influence on HIV Disease Progression and HIV-1C Acquisition in Southern Africa.	AIDS Res Hum Retroviruses	https://pubmed.ncbi.nlm.nih.gov/28132517	https://doi.org/10.1089/AID.2016.0017
25246029	10.1007/s00592-014-0654-3	2014	DiStefano JK	Genome-wide analysis of hepatic lipid content in extreme obesity.	Acta Diabetol	https://pubmed.ncbi.nlm.nih.gov/25246029	https://doi.org/10.1007/s00592-014-0654-3
24770881	10.1007/s00401-014-1282-2	2014	Nelson PT	ABCC9 gene polymorphism is associated with hippocampal sclerosis of aging pathology.	Acta Neuropathol	https://pubmed.ncbi.nlm.nih.gov/24770881	https://doi.org/10.1007/s00401-014-1282-2
28247064	10.1007/s00401-017-1685-y	2017	Deming Y	Genome-wide association study identifies four novel loci associated with Alzheimer's endophenotypes and disease modifiers.	Acta Neuropathol	https://pubmed.ncbi.nlm.nih.gov/28247064	https://doi.org/10.1007/s00401-017-1685-y
30413934	10.1007/s00401-018-1928-6	2018	Broce IJ	Dissecting the genetic relationship between cardiovascular risk factors and Alzheimer's disease.	Acta Neuropathol	https://pubmed.ncbi.nlm.nih.gov/30413934	https://doi.org/10.1007/s00401-018-1928-6
33635380	10.1007/s00401-021-02289-0	2021	Kouri N	Latent trait modeling of tau neuropathology in progressive supranuclear palsy.	Acta Neuropathol	https://pubmed.ncbi.nlm.nih.gov/33635380	https://doi.org/10.1007/s00401-021-02289-0
33213513	10.1186/s40478-020-01072-8	2020	Ibanez L	Functional genomic analyses uncover APOE-mediated regulation of brain and cerebrospinal fluid beta-amyloid levels in Parkinson disease.	Acta Neuropathol Commun	https://pubmed.ncbi.nlm.nih.gov/33213513	https://doi.org/10.1186/s40478-020-01072-8
33757599	10.1186/s40478-021-01154-1	2021	Ramanan VK	Coping with brain amyloid: genetic heterogeneity and cognitive resilience to Alzheimer's pathophysiology.	Acta Neuropathol Commun	https://pubmed.ncbi.nlm.nih.gov/33757599	https://doi.org/10.1186/s40478-021-01154-1
34020725	10.1186/s40478-021-01199-2	2021	Reddy JS	Genome-wide analysis identifies a novel LINC-PINT splice variant associated with vascular amyloid pathology in Alzheimer's disease.	Acta Neuropathol Commun	https://pubmed.ncbi.nlm.nih.gov/34020725	https://doi.org/10.1186/s40478-021-01199-2
