PMID	Public_ss	ds_count	journal	year	is_research_article	relative_citation_ratio	nih_percentile	citation_count	citations_per_year	expected_citations_per_year	field_citation_rate
15761122	N	0	Science	2005	Yes	66.09	100	2948	173.411764705882	2.62388045955476	6.53734690634685
16252231	N	0	Am J Hum Genet	2005	Yes	7.8	96.9	366	21.5294117647059	2.76174754674832	7.04628860006065
16614226	N	0	Science	2006	Yes	10.85	98.3	484	30.25	2.78841487154049	6.9443434457956
16648850	N	0	Nat Genet	2006	Yes	7.94	97	392	24.5	3.08641330005216	7.99736814297245
17052657	N	0	Lancet Neurol	2006	Yes	6.4	95.6	281	17.5625	2.74250999307382	6.78213127914851
17053108	N	0	Science	2006	Yes	14.92	99.1	636	39.75	2.66433971058117	6.50590419143809
17053149	N	0	Science	2006	Yes	6.48	95.7	295	18.4375	2.8453120955569	7.14539880836686
17068223	N	0	Science	2006	Yes	46.56	99.9	2162	135.125	2.90199874703151	7.34571007947372
17099884	N	0	Am J Med Genet B Neuropsychiatr Genet	2006	Yes	2.91	84.6	125	7.8125	2.68746435730829	6.58761879724581
17158188	N	0	Hum Mol Genet	2007	Yes	11.84	98.6	460	30.6666666666667	2.59047085262609	6.06107184618622
17223258	N	0	Cancer Lett	2007	Yes	0.67	36	33	2.2	3.27378165525178	8.53210728206807
17293876	N	0	Nature	2007	Yes	48.72	100	2035	135.666666666667	2.78483324201492	6.76393846228092
17357082	N	0	Am J Hum Genet	2007	Yes	1.31	60.3	56	3.73333333333333	2.85311021634985	7.01084634429903
17362836	N	0	Lancet Neurol	2007	Yes	3.65	89	166	11.0666666666667	3.03132032609508	7.65530197784193
17395743	N	0	Diabetes	2007	Yes	3.07	85.8	140	9.33333333333333	3.03998764145375	7.68664531868033
17401363	N	0	Nat Genet	2007	Yes	18.92	99.4	878	58.5333333333333	3.09428593504584	7.88300253571594
17401366	N	0	Nat Genet	2007	Yes	14.25	99	656	43.7333333333333	3.06861101271638	7.79015511892432
17407593	N	0	BMC Genet	2007	Yes	2.93	84.8	113	7.53333333333333	2.57237028913392	5.99561534582548
17434096	N	0	Lancet Neurol	2007	Yes	3.15	86.3	141	9.4	2.98492417164661	7.48752101888405
17434869	N	0	Science	2007	Yes	68.81	100	2847	189.8	2.75846034945685	6.66856699763075
17435756	N	0	Nat Genet	2007	Yes	28.65	99.8	1327	88.4666666666667	3.08823710572007	7.86112834383703
17447842	N	0	PLoS Genet	2007	Yes	8.87	97.5	431	28.7333333333333	3.23992143092202	8.40965961423633
17460697	N	0	Nat Genet	2007	Yes	16.83	99.3	746	49.7333333333333	2.95425975630819	7.37663025492913
17463246	Y	1	Science	2007	Yes	48.96	100	2117	141.133333333333	2.88277605427955	7.1181259840731
17463248	N	0	Science	2007	Yes	46.15	99.9	2012	134.133333333333	2.90618011189717	7.20276134399179
17463249	N	0	Science	2007	Yes	37.08	99.9	1632	108.8	2.93394768428882	7.30317634560532
17470457	N	0	Hum Mol Genet	2007	Yes	1.14	55.2	54	3.6	3.15965603931076	8.11939839462117
17474819	N	0	J Clin Psychiatry	2007	Yes	8.93	97.6	375	25	2.79939105387717	6.81658342097658
17478679	N	0	Science	2007	Yes	25.38	99.7	1184	78.9333333333333	3.11007529965764	7.94010112001447
17478681	N	0	Science	2007	Yes	27.32	99.7	1273	84.8666666666667	3.10592298731705	7.9250852430592
17486107	N	0	Mol Psychiatry	2008	Yes	12.42	98.7	491	35.0714285714286	2.82446140576169	6.56647330570976
17505501	N	0	Pharmacogenomics J	2008	Yes	6.62	95.9	246	17.5714285714286	2.65301965293419	6.01991784119469
17522711	N	0	Mol Psychiatry	2007	Yes	4.78	92.8	202	13.4666666666667	2.81727129863341	6.88124318959888
17529967	N	0	Nature	2007	Yes	37.98	99.9	1705	113.666666666667	2.99319056941061	7.51741453399235
17529973	N	0	Nat Genet	2007	Yes	24.75	99.7	1127	75.1333333333334	3.03555958787517	7.67063228732969
17529974	N	0	Nat Genet	2007	Yes	11.95	98.6	574	38.2666666666667	3.20176246241732	8.27166653259694
17553421	N	0	Neuron	2007	Yes	8.43	97.3	353	23.5333333333333	2.79084370366914	6.78567390635192
17554260	N	0	Nat Genet	2007	Yes	22.94	99.6	1077	71.8	3.13003744346783	8.01228959492458
17554261	N	0	Nat Genet	2007	Yes	18.62	99.4	880	58.6666666666667	3.1508483707263	8.087547498812
17554300	N	0	Nature	2007	Yes	161.93	100	6761	450.733333333333	2.78354036552658	6.75926307356378
17558408	N	0	Nat Genet	2007	Yes	10.75	98.3	482	32.1333333333333	2.98830688483369	7.49975381854506
17603472	N	0	Nature	2007	Yes	14.21	99	628	41.8666666666667	2.94579593008853	7.34602278548541
17603485	N	0	Nat Genet	2007	Yes	11.65	98.5	547	36.4666666666667	3.13019484740145	8.01285880983562
17611496	N	0	Nature	2007	Yes	23.8	99.7	1074	71.6	3.0082242606387	7.57178040032133
17618283	N	0	Nat Genet	2007	Yes	11.24	98.4	562	37.4666666666667	3.33331383971046	8.74739165457849
17618284	N	0	Nat Genet	2007	Yes	12.9	98.8	645	43	3.3326667060117	8.74505144526927
17632509	N	0	Nat Genet	2007	Yes	5.25	93.9	225	15	2.85650210336117	7.02311231897302
17632545	N	0	Nature	2007	Yes	8.15	97.1	390	26	3.19197482587793	8.2362718093913
17634447	N	0	N Engl J Med	2007	Yes	10.17	98.1	387	25.8	2.53808751887135	5.87163963838243
17634449	N	0	N Engl J Med	2007	Yes	32.98	99.8	1463	97.5333333333333	2.95720147269462	7.38726829168375
17637780	N	0	Nat Genet	2007	Yes	10.75	98.3	427	28.4666666666667	2.64731146686157	6.26662277767079
17641165	N	0	Science	2007	Yes	20.13	99.5	920	61.3333333333333	3.04650061900718	7.71019799524533
17653210	N	0	Kidney Int Suppl	2007	Yes	0.78	41.3	33	2.2	2.80958984481187	6.85346498893359
17658951	N	0	PLoS Genet	2007	Yes	26.86	99.7	1155	77	2.86663588955963	7.05975881234006
17660530	N	0	N Engl J Med	2007	Yes	27.28	99.7	1227	81.8	2.99888102506547	7.53799275039906
17667963	N	0	Mol Psychiatry	2008	Yes	2.67	82.7	102	7.28571428571429	2.72815503643027	6.25944907411166
17668382	N	0	Am J Hum Genet	2007	Yes	2.68	82.8	127	8.46666666666667	3.15663920945423	8.10848872737917
17671248	N	0	N Engl J Med	2007	Yes	4.22	91.2	188	12.5333333333333	2.97194516491001	7.44058544367372
17684544	N	0	PLoS One	2007	Yes	2.06	75.8	98	6.53333333333333	3.16391006505822	8.13478209458132
17690259	N	0	Science	2007	Yes	12.84	98.8	488	32.5333333333333	2.53365680003448	5.8556169687418
17767157	N	0	Nat Genet	2007	Yes	6.3	95.5	301	20.0666666666667	3.18625482014004	8.2155867319456
17767159	N	0	Nat Genet	2007	Yes	7.29	96.5	363	24.2	3.31856460804433	8.69405447044646
17804789	N	0	Proc Natl Acad Sci U S A	2007	Yes	3.3	87.2	164	10.9333333333333	3.31042634680843	8.66462433144808
17804836	N	0	N Engl J Med	2007	Yes	14	99	632	42.1333333333333	3.0096148921659	7.57680929752122
17827064	N	0	Lancet Neurol	2007	Yes	3.62	88.9	163	10.8666666666667	3.00484781806632	7.55957027688776
17846124	N	0	Diabetes	2007	Yes	1.9	73.3	87	5.8	3.04615668518354	7.70895423814016
17846125	N	0	Diabetes	2007	Yes	1.37	62	67	4.46666666666667	3.26421378960568	8.49750730945468
17846126	N	0	Diabetes	2007	Yes	2.66	82.6	124	8.26666666666667	3.10563806587999	7.92405489059776
17848626	N	0	Diabetes	2007	Yes	1.29	59.8	62	4.13333333333333	3.20346172303465	8.27781151550087
17903292	N	0	BMC Med Genet	2007	Yes	1.5	65.3	66	4.4	2.92851870975911	7.28354371519487
