"SCR.title"	"journal"	"PMID"	"Public_ss"	"ds_count"	"year"	"is_research_article"	"relative_citation_ratio"	"nih_percentile"	"citation_count"	"citations_per_year"	"expected_citations_per_year"	"field_citation_rate"	"SJR"	"SJR_Best_Quartile"	"H_index"	"Publisher"
NA	"Age (Dordr)"	22773346	"N"	0	2013	"Yes"	0.43	22.9	14	1.55555555555556	3.64945037296844	8.74797311546552	NA	NA	NA	NA
NA	"Age (Dordr)"	25637336	"N"	0	2015	"Yes"	0.52	28.2	12	1.71428571428571	3.28431299811655	7.14165490746238	NA	NA	NA	NA
NA	"Ann Transl Med"	30596066	"N"	0	2018	"Yes"	0.5	27.1	8	2	3.99351997629948	8.01283288918143	NA	NA	NA	NA
NA	"Ann Transl Med"	31930058	"N"	0	2019	"Yes"	0.38	20.2	5	1.66666666666667	4.39492873155345	8.84946056616245	NA	NA	NA	NA
NA	"Ann Transl Med"	34268393	"N"	0	2021	"Yes"	NA	NA	0	0	NA	NA	NA	NA	NA	NA
NA	"Arch Gen Psychiatry"	18316681	"N"	0	2008	"Yes"	2.79	83.7	108	7.71428571428571	2.76176904753906	6.34201672546506	NA	NA	NA	NA
NA	"Arch Gen Psychiatry"	18519826	"N"	0	2008	"Yes"	4.92	93.2	183	13.0714285714286	2.65410380923285	6.00008447370525	NA	NA	NA	NA
NA	"Arch Gen Psychiatry"	18762592	"N"	0	2008	"Yes"	2.37	79.6	91	6.5	2.74503613631474	6.28887494912721	NA	NA	NA	NA
NA	"Arch Gen Psychiatry"	19581569	"N"	0	2009	"Yes"	8.03	97.1	287	22.0769230769231	2.74825548735172	6.15734851485093	NA	NA	NA	NA
NA	"Arch Gen Psychiatry"	19736353	"N"	0	2009	"Yes"	6.18	95.3	219	16.8461538461538	2.72528812592097	6.08708578758796	NA	NA	NA	NA
NA	"Arch Gen Psychiatry"	21810643	"N"	0	2011	"Yes"	0.58	31.4	20	1.81818181818182	3.13357861289621	7.27043032951443	NA	NA	NA	NA
NA	"Arch Gen Psychiatry"	22566560	"N"	0	2012	"Yes"	4.69	92.6	129	12.9	2.75150926856871	6.12165622675811	NA	NA	NA	NA
NA	"Arch Intern Med"	21059979	"N"	0	2010	"Yes"	1.28	59.6	49	4.08333333333333	3.17975445340562	7.39027938205694	NA	NA	NA	NA
NA	"Arch Neurol"	17998437	"N"	0	2008	"Yes"	9.33	97.8	387	27.6428571428571	2.96224870998554	6.9787167736032	NA	NA	NA	NA
NA	"Arch Neurol"	18195134	"N"	0	2008	"Yes"	3.03	85.5	125	8.92857142857143	2.9420043828446	6.91442314946263	NA	NA	NA	NA
NA	"Arch Neurol"	19667218	"N"	0	2009	"Yes"	2.16	77	90	6.92307692307692	3.2087930127343	7.56624446652084	NA	NA	NA	NA
NA	"Arch Neurol"	21059989	"N"	0	2011	"Yes"	4.18	91.1	142	12.9090909090909	3.08881887617969	7.13276715118779	NA	NA	NA	NA
NA	"Arch Neurol"	22159054	"N"	0	2011	"Yes"	4.53	92.2	154	14	3.08911073764487	7.13366480117134	NA	NA	NA	NA
NA	"Arthritis Rheum"	18576341	"N"	0	2008	"Yes"	0.82	42.8	39	2.78571428571429	3.41285998106504	8.40980566554754	NA	NA	NA	NA
NA	"Arthritis Rheum"	18668548	"N"	0	2008	"Yes"	1.89	73.1	84	6	3.16829471799031	7.63309488664661	NA	NA	NA	NA
NA	"Arthritis Rheum"	18759275	"N"	0	2008	"Yes"	1.75	70.5	63	4.5	2.57661719324808	5.75399601004009	NA	NA	NA	NA
NA	"Arthritis Rheum"	19116933	"N"	0	2009	"Yes"	1.27	59.3	54	4.15384615384615	3.26621133903501	7.74190104827178	NA	NA	NA	NA
NA	"Arthritis Rheum"	19950302	"N"	0	2009	"Yes"	2.24	78.1	86	6.61538461538462	2.95698378866381	6.79589899664553	NA	NA	NA	NA
NA	"Arthritis Rheum"	20112360	"N"	0	2010	"Yes"	4.08	90.7	140	11.6666666666667	2.86234443469831	6.37810878854867	NA	NA	NA	NA
NA	"Arthritis Rheum"	20662065	"N"	0	2010	"Yes"	1.45	64.1	57	4.75	3.27467598755998	7.69296921507802	NA	NA	NA	NA
NA	"Arthritis Rheum"	21061259	"N"	0	2011	"Yes"	3.38	87.6	121	11	3.25753036483736	7.65165670355331	NA	NA	NA	NA
NA	"Arthritis Rheum"	21452313	"N"	0	2011	"Yes"	2.79	83.7	109	9.90909090909091	3.54830404680677	8.54596109786126	NA	NA	NA	NA
NA	"Arthritis Rheum"	22354554	"N"	0	2012	"Yes"	1.23	58.1	45	4.5	3.65451106175683	8.97630116466677	NA	NA	NA	NA
NA	"Arthritis Rheum"	23001997	"N"	0	2012	"Yes"	4.06	90.7	124	12.4	3.05342963700634	7.07611219563176	NA	NA	NA	NA
NA	"Arthritis Rheum"	23740775	"N"	0	2013	"Yes"	3.12	86.1	88	9.77777777777778	3.13849820032253	7.1695476341372	NA	NA	NA	NA
NA	"Arthritis Rheum"	23918589	"N"	0	2013	"Yes"	0.66	35.7	22	2.44444444444444	3.67878939656591	8.83860676949955	NA	NA	NA	NA
