preds	exp_estimate	low.ci	hi.ci
(Intercept)	1.82905812607905	1.51931059568749	2.20195504334122
factor(year)2008	0.580862621232215	0.460911887352892	0.73203012116377
factor(year)2009	0.508633030401735	0.411569484157738	0.628587807342149
factor(year)2010	0.423250578305754	0.345395971646234	0.518654144060594
factor(year)2011	0.354861059005947	0.290677032879456	0.433217478351803
factor(year)2012	0.345549106444481	0.283018434758132	0.421895432594778
factor(year)2013	0.325471752357796	0.26652443774316	0.397456467706491
factor(year)2014	0.29052210472846	0.237407352244015	0.355520132540387
factor(year)2015	0.294257844299999	0.240583857527155	0.35990643687434
factor(year)2016	0.284206104504287	0.232231126259913	0.347813452651046
factor(year)2017	0.270001423360404	0.221385221269058	0.329293745078155
factor(year)2018	0.267274056945378	0.219673744471629	0.32518870968336
factor(year)2019	0.260409102870788	0.21399831053855	0.316885215996847
factor(year)2020	0.222625692300782	0.182338115546972	0.271814802537185
log(SJR)	2.16343757512512	2.10635734292029	2.22206462602123
molecular_cellular	0.800066859233103	0.712472470974868	0.898430473204488
Sharer_17Y	1.84639708398705	1.70158967127086	2.00352778893497
