preds	exp_estimate	low.ci	hi.ci
(Intercept)	1.804773325432	1.49820370062227	2.17407469681059
factor(year)2008	0.577906697861475	0.458183293613715	0.728913856284604
factor(year)2009	0.507247410600552	0.410132990775029	0.627357323961538
factor(year)2010	0.422211147048821	0.344293160666116	0.517762979512551
factor(year)2011	0.355083209030002	0.29064790048455	0.433803530405156
factor(year)2012	0.346172468687709	0.283322534463717	0.422964513938757
factor(year)2013	0.326010745916554	0.266771467472827	0.398404699947508
factor(year)2014	0.291244287764273	0.237823045444701	0.356665330715572
factor(year)2015	0.295285357935271	0.241246306764813	0.361429129341922
factor(year)2016	0.284878052884147	0.232601607694816	0.34890345694232
factor(year)2017	0.279686814256867	0.229217989706005	0.3412677781944
factor(year)2018	0.27982796343672	0.22993463535762	0.340547603884712
factor(year)2019	0.27643970532992	0.227172731579022	0.336391212764506
factor(year)2020	0.233963655620834	0.191594970938335	0.285701612539098
log(SJR)	2.18468444203125	2.12724198517276	2.24367803217544
molecular_cellular	0.788762082664827	0.702138554722553	0.886072440923849
Public_ssY	1.84382670386947	1.68584870715391	2.01660854824963
