preds	exp_estimate	low.ci	hi.ci
(Intercept)	1.82321888774865	1.51460113826087	2.1947211240448
factor(year)2008	0.574993327248685	0.456303664817841	0.724555492037298
factor(year)2009	0.504380226709182	0.408162606955579	0.623279567407536
factor(year)2010	0.418438497286646	0.341492898370366	0.512721572972835
factor(year)2011	0.353332641813874	0.289444396628561	0.431322759139058
factor(year)2012	0.343212291400511	0.281119228402312	0.419020348191239
factor(year)2013	0.325220607276725	0.266337441218915	0.397121947681796
factor(year)2014	0.288751270112143	0.235974281328421	0.35333213230697
factor(year)2015	0.293737270118581	0.240174089913262	0.359246011457258
factor(year)2016	0.281914505915469	0.230363190944073	0.345002117394952
factor(year)2017	0.270886666447177	0.222136002813411	0.330336303568499
factor(year)2018	0.268520616610089	0.220733034527813	0.326653967762024
factor(year)2019	0.261803338419789	0.215184033798809	0.318522646860642
factor(year)2020	0.223863604542712	0.183387639378968	0.273273125760097
log(SJR)	2.16858502331187	2.11159683313406	2.22711122196212
molecular_cellular	0.797891905581279	0.710573334385309	0.89594059076654
Sharer_updatedY	1.81769662655392	1.679762044224	1.96695778282802
