preds	OR	low.ci	hi.ci
(Intercept)	0	0	1.31538682708027e-308
year	1.48268311237818	1.41928065771283	1.54891789709449
log(SJR)	2.78204884040829	2.22423209166735	3.47976084843517
sjournalAm J Hum Genet	1.86432383892404	0.909253355547685	3.82259065108084
sjournalAm J Med Genet B Neuropsychiatr Genet	3.20626029374837	0.73229886230622	14.0381278743113
sjournalAnn Rheum Dis	0.95545863437827	0.31548329679933	2.89365938314211
sjournalDiabetes	8.3977510836384	3.56377635515941	19.7886220218764
sjournalEur J Hum Genet	4.46290620180931	1.62186564333763	12.2806299325509
sjournalFront Genet	1.74595157197425	0.39982006533356	7.62429691750509
sjournalGastroenterology	0.244967846995931	0.0312230419819646	1.92195386011668
sjournalHum Mol Genet	4.7757644943278	2.86909921604544	7.94950776805789
sjournalJ Allergy Clin Immunol	0.473273956810291	0.0625748998837144	3.57952211847107
sjournalJ Hum Genet	2.68696252033008	0.597898299248584	12.0752435568593
sjournalJ Med Genet	1.48336003945902	0.192484034341684	11.4313741094908
sjournalMol Psychiatry	1.47683830374155	0.746660847163477	2.92107371597682
sjournalNat Commun	3.4928981081927	2.45480654875665	4.96997908059011
sjournalNat Genet	1.96742686940904	1.20106032205128	3.22279274021958
sjournalNature	4.69878182224357	2.05710676928981	10.7328170528888
sjournalPLoS Genet	6.21806881391442	3.76552495098787	10.2679919208692
sjournalPLoS One	6.21717046454119	3.24199295396663	11.9226689058255
sjournalProc Natl Acad Sci U S A	0.82900755354067	0.104301019996929	6.58913521505086
sjournalSci Rep	2.58192892786354	1.24673480310269	5.34705293535429
sjournalTransl Psychiatry	0.45913817440013	0.109685233524099	1.92193476203127
